X,Y,OBJECTID,ID,NAME_1,NAME_2,ADDRESS,CITY,ZIPCODE,STATE,EMPLOYMENT,YEARBUILT,SQUAREFEET,SOURCE,DATEREVISE,COMMENTS
-83.40273185440229,42.254986746039144,41,42,General Motors,Romulus Engine,36880 Ecorse Road,Romulus,48174,MI,326,1976,1400000,http://media.gm.com/media/us/en/gm/company_info.html,2015-04-23T00:00:00.000Z,
-83.289793098480857,42.663527658072638,42,43,General Motors,Pontiac Metal Center,220 E Columbia Ave,Pontiac,48340,MI,434,1932,1200000,http://media.gm.com/media/us/en/gm/company_info.html,2015-04-23T00:00:00.000Z,
-83.045896124945301,42.380355064107448,43,44,General Motors,Detroit-Hamtramck Assembly,2500 East Grand Blvd,Detroit,48211,MI,1619,1985,4100000,http://media.gm.com/media/us/en/gm/company_info.html,2015-04-23T00:00:00.000Z,
-83.532027036202294,42.250805550914045,44,45,General Motors,Willow Run Redistribution Center,50000 Ecorse Road,Belleville,48111,MI,205,1971,904000,http://media.gm.com/media/us/en/gm/company_info.html,2015-04-23T00:00:00.000Z,
-83.284390314155175,42.660589361386293,45,46,General Motors,Powertrain Headquarters,895 Joslyn Avenue,Pontiac,48340,MI,2280, ,0,http://news.pickuptrucks.com/2011/05/inside-gms-state-of-the-art-powertrain-engineering-center-.html,2015-04-23T00:00:00.000Z,
-83.241087422939543,42.162236578853992,46,47,General Motors,Brownstown Battery,20001 Brownstown Center Dr,Brownstown,48183,MI,100,2009,406000,http://media.gm.com/media/us/en/gm/company_info.html,2015-04-23T00:00:00.000Z,Leasing space at Brownstown Business Center for battery manufacturing.
-83.281768312402207,42.176192271301524,47,48,Ford,Brownstown Complex,25555 Pennsylvania Rd,Brownstown,48174,MI,430, ,3097509,http://archive.freep.com/article/20140311/NEWS05/303110118/Ford-Brownstown-parts-plant-accident-injured-workers,2015-04-23T00:00:00.000Z,Employment and building square footage estimated by SEMCOG.
-83.048014849153589,42.330761914076412,48,49,Chrysler,Great Lakes Business Center,719 Griswold St,Detroit,48226,MI,70, ,33000,"http://media.chrysler.com/newsrelease.do;jsessionid=C007F4BA418BCD9AC80566905901D13D?&id=13182&mid=1",2015-04-23T00:00:00.000Z,Leasing space in Chrysler House building.
-83.035584271272398,42.486144180961482,49,50,Chrysler,MOPAR,26311 Lawrence,Centerline,48015,MI,550, ,1329340,http://www.media.chrysler.com/newsrelease.do?id=13391&mid=,2015-04-23T00:00:00.000Z,Employment and building square footage estimated by SEMCOG.
-83.035810145464083,42.452210634059966,50,52,Chrysler,Warren Parts Complex,6565 E 8 Mile Rd,Warren,48091,MI,200, ,1103510,http://www.crainsdetroit.com/article/20130828/NEWS/130829820/n-y-firm-buys-1-2-million-square-foot-auto-parts-warehouse-complex,2015-04-23T00:00:00.000Z,Employment and building square footage estimated by SEMCOG.
-82.471824601220163,42.905465330647601,51,53,Chrysler,MOPAR,840 E Huron Blvd,Marysville,48040,MI,195, ,1217956,"http://media.chrysler.com/newsrelease.do;jsessionid=5E44AE0738E8F63DB0C40648B75B6C05?&id=866&mid=175",2015-04-23T00:00:00.000Z,Employment and building square footage estimated by SEMCOG.
